,avg_log2FC,p_val_adj
EHMT1,1.2908822,9.691759300131286e-27
MALAT1,0.31398124,1.4605903093067928e-26
AFF1,1.49702,1.6116421805382316e-26
GTF2I,2.4196832,1.736278550707189e-26
EXOC6,1.6601318,2.0519802719758933e-26
SKIC3,2.0242453,2.4019517243824714e-26
HACD3,1.4008826,2.5575980369559394e-26
E2F3,2.116655,2.5593643147969204e-26
SLC44A1,3.5650022,3.639055963004054e-26
REPS1,1.3133048,3.7823089459056846e-26
TXLNGY,1.9348295,4.404244527740319e-26
SERTAD2,1.8603832,5.18191992990122e-26
DDX17,1.0442963,7.87603497228038e-26
MAP4K3,1.2455704,8.64768817635407e-26
TSPAN13,4.3588786,8.684946369056306e-26
RTF1,1.224307,9.77963552488884e-26
RIC1,1.3361626,1.3418632791657712e-25
PIKFYVE,1.6226927,1.3547106022091605e-25
STK3,2.7595224,1.5317167140045225e-25
RB1CC1,0.8059645,2.169494939190782e-25
ACTN4,1.1500442,2.3015100497868698e-25
SLTM,0.88496536,2.541275302352318e-25
MDM4,1.0423043,2.571843181870147e-25
TXNRD1,1.4864353,2.6271609021486e-25
KIDINS220,1.2211378,2.694722265941782e-25
CELF2,0.80460083,2.884722430143405e-25
SUPT3H,1.5754462,2.9764520194103357e-25
POU2F1,1.2215755,3.4332692266673847e-25
SRSF6,1.0408572,3.7051049340239613e-25
FGD6,4.296025,3.8650805395507957e-25
MAP2K5,1.8379387,4.406501685203863e-25
RBBP4,1.4666178,4.446003085614867e-25
PSMA6,1.3717829,4.740024419383906e-25
GTF3A,1.3793927,5.333098117721696e-25
PHF14,1.793104,6.366838137191031e-25
CAPG,4.289586,6.488765989518893e-25
LNCAROD,4.548546,6.705379202289426e-25
NFAT5,0.8981474,7.787407833436718e-25
CDC27,1.2803745,1.0951065932765606e-24
CPSF6,1.0855778,1.3222683493121936e-24
LUC7L3,1.0154757,2.0329392361880796e-24
NET1,2.4399986,2.4521182503845736e-24
TASP1,1.8706865,3.167877087502527e-24
PHLPP1,1.5685734,3.2791912455194924e-24
TNRC18,1.6384466,3.914280630993669e-24
PCNX4,2.0811868,3.9827573651931255e-24
NAA25,2.1987395,4.7625577232564504e-24
KMT5B,1.7250637,5.303525207657939e-24
ADGRE2,4.8862915,5.9116290763433585e-24
SMARCE1,1.5737606,6.2245994297894714e-24
DYNC1H1,0.9652478,6.524987000994189e-24
EXOC6B,1.3695998,6.628103362402626e-24
