,avg_log2FC,p_val_adj
TUBB,2.310708,1.5484157512347045e-54
WWOX,1.6590272,2.4538354443755364e-54
KCNQ5,1.8789878,2.555004792331458e-54
SDCCAG8,2.0792227,4.1105769587729625e-54
STK3,2.8328333,6.7925471801109e-54
TNRC18,2.0066712,6.827481301145886e-54
CHI3L2,3.0173824,1.0870203802180966e-53
MTHFD1L,2.1529644,1.179415952815639e-53
MIR99AHG,4.246184,1.3129749594860183e-53
MT-CO1,0.5007468,2.0167433223405708e-53
PNISR,1.2621242,2.633717957220137e-53
WDPCP,1.8009541,9.045953364435137e-53
MIR181A1HG,2.9205067,2.637908560612566e-52
PHIP,1.4853657,4.966199450427485e-52
CRADD,2.1497867,7.125076518990173e-52
BCL7A,4.319949,8.132611740714095e-52
CLIP2,2.9255514,8.547742369969025e-52
NME7,2.6327326,1.0919820126554944e-51
CSTPP1,2.1910765,1.2329756595214268e-51
LINC01473,1.8685821,5.0581638577539534e-51
ZNF254,2.519642,5.067354148172492e-51
ERC1,1.5482267,9.438556982008531e-51
MOB1B,2.580433,1.7131934859218962e-50
CA8,4.292502,2.4098357267243213e-50
EHBP1,1.9373487,2.559717477781645e-50
AIF1,2.099368,2.5980014121018385e-50
PIBF1,1.7074255,3.0507551778522965e-50
GNA15,3.1316679,3.1607147717245504e-50
CAPRIN1,2.0915904,3.544997861789237e-50
PCAT18,3.8008235,3.5802103165904976e-50
CLNS1A,1.954096,3.5802103165904976e-50
B4GALT6,4.0438523,3.9750141600045684e-50
TRAT1,1.9949852,4.89589179483487e-50
TRAPPC9,1.5165547,5.096014168102363e-50
NAA15,1.8230128,5.200356190279355e-50
USP6NL,3.0351014,6.073349916325635e-50
ZNF433-AS1,2.4007895,7.661850184408165e-50
PWRN1,4.8787255,7.698726655636178e-50
ZMIZ1,2.6349814,8.099845852282457e-50
SNHG29,1.1996427,1.0772647956527946e-49
RBBP4,1.8951347,1.1854643909095743e-49
ZNF292,1.4125878,2.249955006845135e-49
ANKRD1,3.3588293,2.277029365122005e-49
WDR43,2.1882744,7.675029275286025e-49
BEX3,2.2976317,8.625887190920941e-49
ZNF711,3.766295,1.0961600578681474e-48
ZRANB3,2.2266777,1.2931059100123796e-48
BCAT1,3.6720712,2.89963707862903e-48
LST1,2.2239978,3.1148476942580434e-48
SINHCAF,1.9534991,3.204802935184329e-48
PUM1,1.3814883,3.3301461673524456e-48
ELOVL5,1.4598198,3.3902118561521246e-48
NUTM2A-AS1,2.0131702,3.5855790227873197e-48
CD2AP,1.6179777,4.2009470846913385e-48
LINC01882,2.7602513,4.709128220583378e-48
ACACA,1.9506601,5.193579310273395e-48
CYSLTR2,3.4549522,1.0280565902210651e-47
SLC25A36,1.9264805,3.461706718446014e-47
WDFY4,4.3688745,3.7905283921487137e-47
CUL5,1.6231344,4.182459181299661e-47
MTDH,1.3991425,4.912240302421155e-47
GMDS,1.6072559,5.331431555397854e-47
HDAC4,1.740195,7.737783569170519e-47
BICD1,2.3422296,9.837217756462743e-47
MCTP1,3.1896496,1.2155952753233247e-46
NETO2,3.1505625,3.2456193528389165e-46
PITPNM2,2.42722,4.5286625126270055e-46
TBL1XR1,1.4235166,4.663174189655229e-46
IL1RAP,2.8864202,6.422217335783222e-46
COMT,2.4001515,6.631007426725567e-46
GMDS-DT,1.7742119,8.418794023753852e-46
HMBOX1,1.8179781,8.65041438456747e-46
NUP214,1.7760048,1.1683318623149459e-45
SLC4A8,3.4200385,1.26261592859997e-45
GPBP1L1,1.7737848,1.4681078235795896e-45
HCG17,2.5091217,1.5584561770366095e-45
ADGRE2,3.7269063,2.0457306825495978e-45
RBM26,1.4968854,2.274270275399181e-45
SPNS3,2.7928712,2.7608122950856604e-45
ABI2,2.2875848,2.910238287247471e-45
RNF130,1.8762122,3.2973832221887366e-45
FDFT1,2.5444815,3.383068992910539e-45
KANSL1L,3.085166,4.4561685411819584e-45
PDS5A,1.3785541,5.2158789664231946e-45
LINC00342,1.5321448,6.131522890874062e-45
SOCS2,2.4883409,6.133705911571922e-45
EBPL,2.1114724,6.282021065045279e-45
UBE2E1,1.7341442,9.6334545625966e-45
MLEC,2.146946,1.5038085779108984e-44
ASPH,2.5944035,1.603511783424625e-44
PPP1R14B,2.2096798,1.6810304437402339e-44
BCL11A,3.8958886,2.3621157768405785e-44
CENPU,2.7202275,2.5579378720403275e-44
TENT2,1.6180735,2.6488478669704504e-44
RTN4,1.4746673,2.826887732943654e-44
EPHB6,2.918616,3.807212855148888e-44
ZNF518A,2.0898886,4.0902131030114544e-44
MT-CO2,0.38781494,7.288952671937209e-44
H6PD,2.6176488,7.554422087551755e-44
ST3GAL3,1.9276414,8.377844142296613e-44
CCDC14,2.0135486,8.662392986735231e-44
PTPRN2,3.3295362,9.875456121687155e-44
ENO1,1.4011005,1.206366694141767e-43
PDS5B,1.6801327,1.5695038745494788e-43
ADA,2.1697066,1.6501326498559184e-43
AHCYL2,1.8144996,2.0055299436330954e-43
YWHAG,1.9826418,2.1162391180740973e-43
NPM1,0.9411849,3.5110336030682735e-43
HES4,2.8126357,3.834029367437896e-43
S100Z,3.485164,4.9636136299345435e-43
MAL,1.8351455,7.565295785847247e-43
TCERG1,1.5549941,7.916665807982929e-43
SEC31A,1.6438723,8.311917550211146e-43
SPECC1L,1.7158045,1.3360244218854637e-42
NUDT3,1.870715,2.1685987482203104e-42
OSBPL9,1.5413567,2.2330299328337845e-42
PAICS,2.3566191,2.363430382518346e-42
ZNF326,1.7611762,2.5014133238732683e-42
RSRC1,1.551218,4.629929841964914e-42
AMBRA1,1.5473002,5.351896115839047e-42
UBE2E3,1.7315402,5.967617183920883e-42
ANKIB1,1.5695105,1.087148332665552e-41
SMAD2,1.6776177,1.3205325825077202e-41
EXOC4,1.2212038,1.5545364794437637e-41
USP7,1.6428282,2.0070780607700956e-41
ARID1A,1.4598044,2.1098019072702792e-41
GLUL,2.179634,2.525270517236448e-41
TUSC3,3.3484046,4.5146860999196035e-41
JPX,1.6096473,5.213279474070887e-41
EMID1,4.109339,6.18211529037044e-41
PKN2,1.2900513,6.816261181666899e-41
MARCKSL1,1.7358673,6.891156402179525e-41
FABP5,1.967091,7.248824041530031e-41
NRIP1,1.5869215,1.132239540056722e-40
PRKACB,1.5944792,1.1896963416565269e-40
ADK,1.2391716,1.3148897786540226e-40
WDFY3,3.4732692,1.3344897575501663e-40
DISP1,2.5014358,1.9933937652908643e-40
TSPAN3,2.9514384,2.0935801566149907e-40
FUT8,1.386587,2.160523602209599e-40
ZNF618,3.404592,2.3671835078066163e-40
HDAC8,2.031767,2.5751427159912743e-40
CD38,2.1263287,2.6896260441885484e-40
CCSER1,3.3117123,2.7437636684600286e-40
SEPTIN6,1.2618647,2.838109311172835e-40
CD47,1.374262,4.544327104262922e-40
CDK2AP1,2.7329006,5.658375362526979e-40
RAB10,1.4815173,6.210755668823044e-40
LINC00467,3.4894958,7.500784072002516e-40
