,avg_log2FC,p_val_adj
ERH,1.513327,7.197878078631486e-16
CUL5,1.2453631,7.41490939096918e-16
SMC4,1.5247716,8.193172475641631e-16
CDK19,1.7271516,8.260830988586075e-16
R3HDM1,1.3874148,8.89598010851636e-16
PSPC1,1.2275019,1.0219324133973598e-15
YWHAQ,1.20216,1.0515137199894383e-15
PXDN,4.2004128,1.2667311935764523e-15
SLC25A36,1.3260814,1.3285903523317812e-15
RFWD3,2.2936113,1.4360168145915138e-15
HSPA4,1.567464,1.453830536868547e-15
SLC25A5,1.2187798,1.525491268897995e-15
PUM1,0.9635073,1.5948421070421527e-15
ATP13A3,1.6624149,1.6679850759285558e-15
MRPL51,1.8935747,1.8099109558184322e-15
MVB12B,1.7741833,1.810661330964417e-15
FAM117B,1.3150499,1.8519752514771285e-15
ENO1,1.206987,1.89245334134323e-15
RIF1,1.4534148,1.9217005525243233e-15
SNRPD1,1.3417075,1.9217005525243233e-15
ATG10,1.8647677,2.2269005637325323e-15
PSMB2,1.4533579,2.248670577913635e-15
NCL,0.94236094,2.3096091418153427e-15
KSR2,3.9779155,2.4365728350326308e-15
NUP93,1.6622303,2.53495152269755e-15
TAPT1,1.6192269,2.557088713087806e-15
SELENOW,1.4023117,2.770422099422046e-15
PDZD8,1.5020344,2.7989249756059825e-15
PRKCB,1.0937967,3.1496497458521463e-15
MAST4,1.8775728,3.1754882058273954e-15
XRCC5,1.1158307,3.193348081259356e-15
SLMAP,1.2256881,3.221134077506229e-15
PDS5B,1.278275,3.221134077506229e-15
EZH2,1.4396118,3.3029546323763663e-15
C18orf25,1.7832369,3.3029546323763663e-15
AGPS,1.5263696,4.1012461502283224e-15
CCT2,1.338157,4.9460124366480594e-15
NUP50,1.5988098,5.004266125811336e-15
SLC4A4,2.6453524,5.096859435119265e-15
SP3,1.0375063,5.149024993496625e-15
TAF1B,1.7468519,5.322302027428812e-15
SLC39A11,1.5485833,5.8031734211180906e-15
PACSIN2,1.3763254,6.2596909681658254e-15
MACO1,1.2760992,6.272479348721161e-15
C12orf75,1.4119354,6.539217663949327e-15
LAT,1.3010466,6.7964264298254335e-15
STAU2,1.4580361,6.98560078173863e-15
GTSF1,3.528726,7.103664232850342e-15
PSMD1,1.3218485,7.201784443605284e-15
MIR646HG,2.619414,7.290173648943747e-15
UBE2G1,1.1027544,7.778720651245784e-15
TALDO1,1.4801667,7.982450469890347e-15
PPP1CC,1.2852101,8.33774523100175e-15
ZNF738,3.4671369,8.616694262199216e-15
GSTP1,1.4360452,8.828704471496862e-15
TVP23C,1.7231662,9.10086442799704e-15
STRBP,1.8587964,9.651404702309792e-15
SCCPDH,6.394838,1.0059616874853192e-14
UBE2R2,1.2090162,1.013668766888113e-14
VPS13A,1.2588004,1.0944332808299372e-14
SRSF6,1.5162246,1.4388751055863444e-14
MZB1,3.635878,1.4725664891645252e-14
LGALS9,2.4774225,1.5799790796623684e-14
ZNF207,1.1358223,1.6813120642965113e-14
OSBPL9,1.2826996,1.917711609826912e-14
CTSC,1.2362057,1.943918063215669e-14
DAPK1,3.2995572,2.007403797059136e-14
NME1,2.3623893,2.0646986648160768e-14
KDM6A,1.1352319,2.0646986648160768e-14
CHN2,1.6411623,2.3055932139184755e-14
MSN,1.1228794,2.3055932139184755e-14
MBD5,1.2502811,2.4885555098636656e-14
RPA1,1.7878144,2.4885555098636656e-14
FDPS,1.8052872,2.6962035984750788e-14
SMARCE1,1.3621516,2.7509524708994966e-14
ABRACL,1.2386551,2.826765832546981e-14
TMPO,1.3929307,2.826765832546981e-14
MAZ,1.3737509,3.253021544642839e-14
ATP5MC3,1.2358003,3.349903857157374e-14
TCF3,2.161383,3.415658091800655e-14
HELZ,1.0823293,3.4655020054566577e-14
KIF5B,1.1458592,3.486624355181027e-14
SNRNP70,1.2531854,3.5886101461263083e-14
BAZ1B,1.3390462,3.673510754165689e-14
MRTFA,1.2953136,4.1349793508459017e-14
PCNX4,1.4924669,4.16016098720956e-14
DIAPH2,1.2886689,4.2479040855859305e-14
MRPS35,1.894014,4.43258913769494e-14
SVIL,1.3610224,4.6343043502721134e-14
TTF1,1.7031381,4.8268011690771344e-14
PWRN1,3.5832176,5.911085517470808e-14
ALYREF,1.6561855,6.02330332279116e-14
ATF7IP,1.090438,6.463991831218552e-14
PIK3C2B,2.5946114,6.463991831218552e-14
SPN,1.3829799,6.46510779358302e-14
MLEC,1.8525487,7.304448397108692e-14
BANF1,1.8119051,7.523224637916523e-14
CSNK1A1,1.0666409,7.676859457681219e-14
CAPZA2,1.2727877,7.793039491878546e-14
PAXBP1,1.3506073,7.901823181537974e-14
DLEU2,1.3178425,8.278508528630692e-14
ZNF107,1.65877,8.312471845286601e-14
WDR43,1.2337729,8.789494420017252e-14
TMX3,1.8522846,8.9599410372744e-14
SNHG14,1.3425171,9.413734807406226e-14
GAS7,1.9746988,1.1326833187162838e-13
VAV1,1.372147,1.1783429644389183e-13
TLE4,1.1045558,1.1987636672078584e-13
NDUFAF6,1.7307119,1.307078955116989e-13
DKC1,1.9691038,1.362948355404747e-13
CPT1A,1.3531086,1.3678520678343226e-13
ACACA,1.7651571,1.3781038427676835e-13
CLIC1,1.2142174,1.3924727853448437e-13
PGD,2.8275948,1.4358767293312013e-13
RBX1,1.2759198,1.5066083843231435e-13
RTN3,1.7157426,1.561792819707947e-13
BRD7,1.2011685,1.7701213177995533e-13
GPBP1L1,1.2467381,1.8427653897202618e-13
CDC27,1.1883134,1.93546308033933e-13
SPIN1,1.4900514,1.9555594936543997e-13
CPSF6,1.1081879,2.0852408171653212e-13
USP14,1.4006761,2.1737344647868268e-13
UHRF2,1.2135549,2.1825987792979583e-13
TBXAS1,2.665461,2.189399644479521e-13
CD84,1.8653691,2.2025666366681634e-13
LRPPRC,1.4557023,2.2126264094904686e-13
ATXN2L,1.3654692,2.2778438328623036e-13
HNRNPK,0.85248756,2.3449553073625037e-13
PIN4,2.6122863,2.4053521091332134e-13
GSE1,1.4858011,2.42098920881786e-13
LZTFL1,2.4663265,2.4578545002899626e-13
HECTD4,1.2506473,2.472653103570608e-13
DNM1L,1.352018,2.5625656893614285e-13
PTPN7,1.3199428,2.565673799555116e-13
CELF1,1.0395603,2.667258390386256e-13
UBXN7,1.392637,2.7760721162816756e-13
ATXN10,1.206571,2.830446336742636e-13
ST8SIA1,2.2103286,3.1159944260031294e-13
FAM13B,1.1522923,3.148236805771806e-13
QPRT,3.3416846,3.22361069430018e-13
SEMA4D,1.048582,3.394970552830131e-13
CENPU,2.9841359,3.4579801749820514e-13
MLLT10,1.3098017,3.7757865362402545e-13
ZFAND6,1.1260043,3.8202122196805153e-13
CHD6,1.1399279,4.0863380453453835e-13
NCOR1,0.89826417,4.345844412867786e-13
LMNB1,1.8593258,4.580071073096048e-13
RNGTT,1.2031282,4.653637004984486e-13
ZNF433-AS1,1.4107497,4.805220829526294e-13
NDUFA13,1.0388955,5.468940101852316e-13
HMBOX1,1.5941036,5.504235209511052e-13
MINDY2,1.911832,5.560766682908419e-13
GLRX5,1.8216934,5.652518301181525e-13
ZFP91,1.4292995,5.67290006245687e-13
CACUL1,1.9434124,5.974500220133884e-13
HMGN2,1.5214605,6.38758869371896e-13
SMCO4,3.7859552,6.477479131880359e-13
RAN,1.0895265,7.045258313937775e-13
ZMYM5,1.5622714,7.256147044700649e-13
DHX9,0.9637423,7.347701823548767e-13
ITGA4,1.0597156,8.473685365711751e-13
TRGV2,5.92464,8.488194341665897e-13
ZNF521,4.7142215,8.801829527271712e-13
CCAR1,1.1822523,8.870887145162912e-13
USP22,1.3782586,9.208583481226304e-13
ATP6V1H,1.2269471,9.45644984765077e-13
NUDT21,1.5510123,9.579848106630492e-13
SPRY1,4.9930625,1.032834442089512e-12
ROCK1,0.9915864,1.0690498219029708e-12
CNR2,2.6474855,1.089067468528307e-12
CREB3L3,4.332001,1.1436653255235292e-12
RBBP8,2.2670293,1.1477769784328018e-12
LCP1,1.0190511,1.1752680360651217e-12
ARHGEF2,1.6495959,1.2175283628694464e-12
SRP72,1.295785,1.2362410081409423e-12
TBC1D31,1.9258866,1.3175880610875553e-12
NOVA1,5.0792193,1.4153451255752327e-12
TPM3,0.8680243,1.4277156983154136e-12
MRPL3,1.7227533,1.5366468261850333e-12
KPNB1,1.0534323,1.5366468261850333e-12
DUT,1.3817891,1.5558404687900573e-12
NCKAP1L,1.2774532,1.5988572407175166e-12
SF3B3,1.7926179,1.6263515806460925e-12
MBTD1,1.3234311,1.6297234025864165e-12
CDKAL1,1.0220249,1.6297234025864165e-12
TMEM26,5.9491606,1.6794240786916936e-12
LSM2,1.4755992,1.7027531366156989e-12
CD38,1.5689685,1.8393498268713157e-12
CEP135,1.890897,1.876126240383935e-12
MTPN,1.0794172,1.9258510785390136e-12
TMEM164,2.002861,1.9707056884989055e-12
SLC4A7,1.0799326,1.979418218890181e-12
CCT3,1.3419204,1.979418218890181e-12
UBE2E3,1.4064958,2.080543448780305e-12
RFX7,1.1738982,2.1025561173771317e-12
LRP8,3.2883997,2.188539360861935e-12
PSMA5,1.3254478,2.5467894268020416e-12
GTF2F2,1.3176597,2.5630009333086706e-12
