,avg_log2FC,p_val_adj
DANT2,5.4320908,5.7561799470600446e-114
NUMB,1.3064996,8.490733543541393e-114
DOCK5,2.6930842,9.000692924736724e-114
HM13,1.2300785,1.3326957304584883e-113
GALNT6,3.0016036,2.340351831238807e-113
ENSG00000290853,2.9422553,3.370585771220472e-113
ILF3,0.9204035,5.33865790000118e-113
UPF2,1.0601349,5.975494119689993e-113
SMYD3,0.8793455,6.399876114391135e-113
FXR1,0.90509176,9.08372536518451e-113
IREB2,1.2559372,1.649400671084135e-112
HCG17,2.377649,2.1771264773277016e-112
HIBCH,1.4756097,2.5416922075204344e-112
PIK3CA,0.9843749,5.060822885329349e-112
LRRC28,2.5646517,5.350713153768846e-112
KMT5B,1.2972018,6.326027560144124e-112
MTHFD2L,2.038309,6.883518947184294e-112
ZFR,0.9116321,9.175912447526456e-112
UBE2Q2P1,2.49841,1.0427314263473507e-111
ZNF22,1.7177733,1.3714688357125232e-111
ARFGAP3,1.2142026,1.6241261472701403e-111
SMARCE1,1.203948,1.9237063197821987e-111
MKRN3,4.348917,2.2288366545705005e-111
TBCD,1.4835149,2.29479709072907e-111
ZNF124,1.9977334,3.6606160682137916e-111
DAPK1,3.626747,4.931608485663196e-111
MSH2,2.1747217,4.9502584538243616e-111
INO80,1.0905803,8.828823514566465e-111
ACBD6,1.1019913,1.0263844650631291e-110
NAALADL2,3.3694556,1.2679423055493449e-110
PIAS1,0.8550122,2.255002897845716e-110
ZNF280D,1.7605462,3.083203939451812e-110
POGZ,1.0688494,5.993495372929947e-110
ZRANB3,1.9911542,8.843592993677808e-110
IKZF2,1.6046323,9.99475456111141e-110
ATF2,1.0939102,2.0591318233368535e-109
BANF1,1.5010808,2.1918630207664777e-109
RCOR3,1.3690871,2.821087791204822e-109
SYK,3.66633,2.8324155238212543e-109
RSF1,0.858892,3.755506323639885e-109
OSBPL3,1.2280605,4.248949438775163e-109
ENSG00000227486,2.1774743,4.470853956933327e-109
NBAS,1.0254568,4.841085903705028e-109
SREK1,0.91669613,5.003687848083429e-109
LINC01473,1.4531012,6.192455878622359e-109
UVRAG,0.96980816,6.37818148264733e-109
ZNF207,0.8397626,1.365616586397134e-108
FRMD4B,2.2345135,1.4798906899094328e-108
SPRY1,3.6458957,1.8768507080511583e-108
TXLNGY,1.0545664,1.8983096018492185e-108
MPZL1,4.3737206,4.58336935716096e-108
NME2,0.9456689,8.429242636090017e-108
SRP9,1.1043316,8.468759562696776e-108
MYL6B,2.8249183,1.1740473843051747e-107
MIB1,1.4092473,1.272271867752165e-107
ZNF544,2.1691437,1.9321267558300914e-107
EHMT1,0.882319,3.220443614463405e-107
IFI44,2.008557,3.728432136346692e-107
NOL4L,1.5402923,8.281695205816567e-107
H3-3A,0.764631,1.0227647995399747e-106
FUBP1,0.8067863,1.0367915745831517e-106
TSPAN3,2.2838874,1.439280053889706e-106
YEATS2,1.4657295,2.224747252798614e-106
TBC1D32,1.6261274,2.356329183143167e-106
IL1RAP,2.5446758,4.508374865353182e-106
MTHFD1L,1.7751395,5.32697955012711e-106
TLK2,1.0078903,6.994254721119982e-106
GABPB1-AS1,1.0614183,9.4983943373269e-106
RTF1,0.99592286,1.1392816956029377e-105
SKIC3,1.126535,1.680715123094336e-105
FGFR1,2.7083616,2.7021510447553058e-105
STK33,3.6335578,4.806149200933608e-105
FAM13B,0.8653673,1.0763292336623073e-104
EMID1,5.1677766,1.4537765722729214e-104
ZBTB8A,5.4244328,2.0560172340440575e-104
MGMT,1.6689036,2.7321392212809772e-104
GTF2F2,1.1169405,2.777361600229193e-104
AFF1,1.1101804,2.777361600229193e-104
RPN2,1.0528895,3.000152295037869e-104
PPIP5K2,1.0862498,3.0287402928533827e-104
TCERG1,0.92129827,3.7867513103815957e-104
LINC01226,4.8541408,5.66904739998716e-104
