,avg_log2FC,p_val_adj
ZBTB20,0.86497486,3.2005102688618275e-56
L3MBTL4,5.9457293,1.4162081840170845e-55
ZNF433-AS1,2.378882,1.6615532845646822e-55
ANTXR2,2.223833,1.4946335383124654e-54
GPX1,1.728571,3.4059800470264155e-54
ITGA4,0.91971856,4.3231923347133947e-54
P2RX1,7.2614684,9.660650412899264e-54
NT5C2,1.8406001,1.2977504894756711e-53
GTF2I,1.973859,1.553965453820115e-53
MACF1,0.95737493,4.187756804134564e-53
GSE1,2.2453547,5.103967104450737e-53
TTC7A,2.1052585,1.2641149210238599e-52
WWOX,1.2577459,1.5521774216818209e-52
BPTF,0.95869243,1.8946078256992628e-52
KAT6B,1.2550883,2.4183194401481924e-52
SH3BP5,2.6485996,2.932965141991475e-52
ABLIM1,1.0725958,5.3318285115325215e-52
H3-3A,0.8379226,6.887435960545e-52
GNPTAB,1.6607723,1.0094817273097903e-51
ELF2,1.1877984,2.4637272141199658e-51
TNRC6B,0.7382585,4.86486648529411e-51
OSBPL3,1.7566546,5.729785893484512e-51
CNR2,6.1233263,2.389691701513988e-50
TRIM24,2.4496322,2.9835175029647563e-50
PTP4A2,1.0678153,4.990149877307862e-50
TTC3,1.0970528,5.39455374565493e-50
CALHM6,4.0130405,1.4066616247130262e-49
USP32,1.9402405,1.8679607634917395e-49
ARHGAP5,1.7756847,3.739285601131764e-49
GMDS-DT,1.5639154,3.9170294001226315e-49
TCF12,1.011499,5.173764903544261e-49
SPTLC2,2.0626485,7.077866524412557e-49
RAB8B,1.1120468,9.443643550213276e-49
SVIL,1.846189,9.787265515753477e-49
PTPRD,5.570361,1.0992639111526917e-48
KHDRBS1,1.2658081,1.7602064331813318e-48
PEAK1,2.4649374,3.2324550981293514e-48
FUT8,1.2446486,3.5604317110779766e-48
ZNF254,2.1280074,5.605224708455077e-48
SATB1-AS1,1.7192409,6.168941611928883e-48
KDM5B,2.1833286,3.363935497145231e-47
P2RX5,3.6420991,1.025803731371481e-46
CTNND1,2.7243881,1.0493817164194977e-46
MAPK8,1.1646379,1.063716951208007e-46
PHF14,1.4420155,1.0678106655698388e-46
CAPG,5.23829,1.1468384352898436e-46
ITM2C,3.3792574,2.071532590161989e-46
DDX17,0.81896037,2.80471356442458e-46
PKD2,2.500816,6.388295431464423e-46
ABHD17B,2.1450121,7.731475845684311e-46
PNN,1.0432595,8.169992626492222e-46
SCMH1,1.6996713,9.939023924760437e-46
MAST4,2.4009414,1.5842382426836935e-45
TMEM123,1.0270958,1.7666103058966635e-45
SLC24A3,5.6120763,1.893515329699752e-45
WDPCP,1.6871644,2.5715874541816003e-45
NFAT5,1.2726177,2.9547060743567185e-45
MDM4,1.1745546,4.558223385963545e-45
HDAC9,3.0203106,4.7182423457029866e-45
PPP3R1,1.1430299,8.297419945021396e-45
MYO7B,5.9374256,1.817035975459221e-44
RNASEH2B,1.5077407,2.355189086199134e-44
SPN,1.6453229,4.018217900036259e-44
PICALM,1.067478,4.782194729494655e-44
TCP10L,2.1764777,5.957227147646298e-44
RNF144A,1.8674127,6.272786556844369e-44
DAPK1,4.278723,6.862876552319483e-44
DNAH14,6.0183697,1.0966144517660496e-43
LAT2,4.724791,1.6872296768767413e-43
UCK2,4.2981405,2.270120432311332e-43
TTTY14,1.8836046,2.5643327550778033e-43
KMT2C,0.8252345,6.392554695513223e-43
GAS7,3.3800993,6.959982748348273e-43
TNRC18,1.8549128,1.2878595268792362e-42
SLC12A6,1.6888653,1.3148955512862223e-42
DTX1,4.648247,1.592970977468484e-42
DPYD,0.8149144,2.3176515736882195e-42
CALCOCO2,1.8765173,2.702730672799513e-42
LSM7,1.0115403,3.630388566112239e-42
IKZF2,1.8349956,3.89114048956521e-42
RAP1B,0.766029,4.861151652218015e-42
ARFGAP3,1.8658917,1.0137482040592669e-41
COL24A1,6.6048446,1.1204914426990394e-41
NFATC3,1.2787181,1.3171099982704333e-41
TESPA1,1.3943045,2.3715653140488843e-41
AFF2,5.083109,3.713808335617301e-41
SLC39A11,1.7158536,5.357945938177169e-41
CHD4,1.3100559,7.084249033285775e-41
ZMAT3,2.3378687,7.478357151070068e-41
ATP2A3,1.4076442,1.0199680662973557e-40
FBXO11,1.0930442,1.0310609577377735e-40
GNB4,4.25566,1.1355413213451011e-40
VPREB1,6.877093,2.517846932101939e-40
ANGPT1,6.7568536,2.6692533576705704e-40
BANK1,5.0465145,2.9243098647695172e-40
TANC2,2.3508093,3.2645907126017267e-40
TUBA1B,1.5506965,1.070725950245239e-39
PPP3CA,1.1662807,1.3612493109488722e-39
PPM1A,1.361567,1.3700112649524199e-39
RIN3,1.8518775,1.402058742293832e-39
RCSD1,1.5163393,2.183788334593677e-39
PGGHG,1.3487016,4.843690618316595e-39
ZNF609,1.2204792,5.074386332853092e-39
SPPL3,1.0986831,7.633179127263823e-39
VAMP8,1.4292948,1.0125786315640522e-38
LYN,2.7739804,1.023841095867432e-38
ERBIN,0.9728045,1.3387713821787023e-38
PABPN1,1.1645249,1.3756654167107544e-38
ERICH1,1.4151939,2.4874013742863876e-38
USP6NL,3.3094325,2.6221724328856065e-38
DUSP10,1.8232098,2.932414964199735e-38
BNIP3L,1.5743663,3.015261310905356e-38
STIM1,1.1072196,4.478971226616024e-38
BACH1,1.5802941,7.960496609033769e-38
OSBPL9,1.2630941,1.0831053447695552e-37
ARID1A,1.2142321,2.2144817677770524e-37
PTBP2,1.0626945,2.637859503380525e-37
TFRC,1.6746421,3.2160594083549037e-37
BCKDHB,2.0013185,3.2322559457209296e-37
CRNDE,9.369355,3.2502079897660193e-37
CDK5RAP3,1.6525608,5.599065842658905e-37
SLC39A8,1.6454624,8.1496485422337e-37
CD58,2.1845374,2.2347249855839375e-36
LNCAROD,6.881502,2.268689895773974e-36
NUTM2A-AS1,1.3825908,2.3674473718144272e-36
SUMO2,0.76744217,3.20983176165371e-36
BAHCC1,7.671548,4.889100994311745e-36
ZNF326,1.4029952,1.3860754271325243e-35
SERTAD2,2.3065102,2.2857740252633573e-35
FAM168A,2.001838,2.5640996062088667e-35
RNF24,2.9365952,2.6233422935799345e-35
CNOT6,2.1079278,3.6609992385130866e-35
SASH3,2.1867723,3.7528583378289464e-35
SDK2,3.4612195,5.518135155684757e-35
GCNT1,4.104676,7.528629186590202e-35
PIKFYVE,1.4914045,1.6634410378548895e-34
RB1CC1,0.8890952,1.8488283985631047e-34
VAPA,1.0203062,2.053300882071233e-34
ARID2,0.93210065,2.1998886711119793e-34
MARCKSL1,2.11168,2.6547641917356612e-34
SMURF2,1.3809375,4.499295316326996e-34
MT-ND4,0.29509592,4.684364865543324e-34
MT-CO2,0.2709894,4.767449150432303e-34
MTURN,2.888393,7.830167973897986e-34
CEP170,1.9881349,9.364121831144885e-34
ADA,2.5871139,9.709654234301523e-34
TGFBR1,2.1880033,1.1946540334892752e-33
MAX,1.229003,2.1783576877294973e-33
NLK,1.9655507,2.810530026024428e-33
LAIR1,3.4508865,3.0385189827199494e-33
CRPPA,3.676353,3.276961753322211e-33
LRRC28,2.5790594,4.693992722999095e-33
RFLNB,1.9175278,8.485112007112675e-33
RTN4,1.0944462,8.695242426660475e-33
ZNF652,1.3978148,1.826854227577257e-32
IRF1-AS1,0.9886075,1.889364216190968e-32
BCAS3,0.9984949,1.957268263641404e-32
TAGLN2,1.3619683,2.1064281107349512e-32
RBBP4,1.2304448,3.041422485337914e-32
SPIN1,2.0381815,3.568936467626075e-32
NLGN4X,6.313415,3.8116391784854223e-32
ST8SIA4,1.5539714,3.8316790415713045e-32
RNF168,1.5220411,3.881205504194134e-32
ADGRG5,3.862087,4.0584066125019834e-32
CLINT1,1.106076,4.1836772907486205e-32
SMURF1,1.403776,4.706034549183661e-32
ZNF711,5.4307213,4.774744302533661e-32
ZNF827,1.5106455,4.8998869540997953e-32
DENND4C,1.1221752,6.332368471416404e-32
AUTS2,1.3624722,6.931355677022747e-32
